AIRLINE,ARR_DELAY
Endeavor Air,-2.4216020568177674
Republic Airline,-0.18736415012317056
Delta Air Lines,-0.121730050277169
Alaska Airlines,1.0008547182482346
SkyWest Airlines,1.754189291936324
Horizon Air,2.314109216703731
Envoy Air,2.471887772951848
PSA Airlines,3.1630586186883343
Hawaiian Airlines,3.2373015121381443
Southwest Airlines Co.,3.254948241804503
United Air Lines,3.894779725554417
American Airlines,4.321450373019432
Mesa Airlines,5.129584155873337
ExpressJet Airlines,6.813348985410029
Spirit Air Lines,7.038740868070477
Frontier Airlines,9.707603833865814
Allegiant Air,10.90629557850992
JetBlue Airways,11.033595680424636
